DatePurchased,Symbol,Type,Units,PricePaid,Price,Return
2018-03-05,CBAY,Stock,7,15.43,13.66,-0.1147116007777057
2018-03-27,AAPL,Stock,1,174.34,173.01,-0.007628771366295806
2018-03-02,SPY,ETF,3,265.75,264.92,-0.0031232361241767537
2018-04-07,NWPX,Stock,1,19.06,19.71,0.0341028331584472
