DatePurchased,Symbol,Type,PricePaid,Units,Status
2018-03-02,SPY,ETF,265.75,3,Held
2018-03-05,CBAY,Stock,15.43,7,Held
2018-03-27,AAPL,Stock,174.34,1,Held
2018-04-16,KONE,Stock,6.4,2,Held
